listing_id,url,source,date_posted,date_scraped,title_raw,brand,model,trim,year,mileage_km,fuel_type,transmission,fiscal_power_cv,customs_status,condition,owners_count,doors_count,seller_type,seller_phone,seller_phone_hash,city,region,price_mad,photos_count,description_raw
2300,https://www.autocash.ma/fr/achat/voiture/2300,autocash,2026-09-24,2026-09-24 21:31:02,Audi Q5 30,Audi,Q5 30,,2021.0,74691.0,Diesel,Automatique,,Dédouanée,Occasion,,,Professionnel,,,Casablanca,Casablanca-Settat,393000.0,1.0,Voir plus Previous slide Next slide EXPERTISÉE COMPARER Audi Q5 30 TDI 136 S-Tronic Prestige À partir de DH/mois 393 000 DH 01/2021 74 691 km Automatique Diesel
2299,https://www.autocash.ma/fr/achat/voiture/2299,autocash,2026-09-24,2026-09-24 21:31:02,Mercedes Classe C,Mercedes-Benz,Classe C,,2024.0,78346.0,Diesel,Automatique,,Dédouanée,Occasion,,,Professionnel,,,Casablanca,Casablanca-Settat,386000.0,1.0,Voir plus Previous slide Next slide EXPERTISÉE COMPARER Mercedes Classe C Coupe 220 d Luxury À partir de DH/mois 386 000 DH 04/2024 78 346 km Automatique Diesel
2298,https://www.autocash.ma/fr/achat/voiture/2298,autocash,2026-09-24,2026-09-24 21:31:02,Volkswagen Touareg 3.0,Volkswagen,Touareg,,2021.0,110054.0,Diesel,Automatique,,Dédouanée,Occasion,,,Professionnel,,,Casablanca,Casablanca-Settat,382000.0,1.0,Voir plus Previous slide Next slide EXPERTISÉE COMPARER Volkswagen Touareg 3.0 V6 TDI 259 CONFORT+ À partir de DH/mois 382 000 DH 01/2021 110 054 km Automatique Diesel
2294,https://www.autocash.ma/fr/achat/voiture/2294,autocash,2026-09-24,2026-09-24 21:31:02,Jeep Grand Cherokee,Jeep,Grand Cherokee,,2021.0,96996.0,Diesel,Automatique,,Dédouanée,Occasion,,,Professionnel,,,Casablanca,Casablanca-Settat,245000.0,1.0,Voir plus Previous slide Next slide EXPERTISÉE COMPARER Jeep Grand Cherokee 3.0 CRD 250 Limited À partir de DH/mois 245 000 DH 01/2021 96 996 km Automatique Diesel
2296,https://www.autocash.ma/fr/achat/voiture/2296,autocash,2026-09-24,2026-09-24 21:31:02,Land Rover Range Rover,Land Rover,Range,Rover,2018.0,200000.0,Diesel,Automatique,,Dédouanée,Occasion,,,Professionnel,,,Casablanca,Casablanca-Settat,310000.0,1.0,Voir plus Previous slide Next slide EXPERTISÉE COMPARER Land rover Range Rover Sport 3.0 SDV6 306 HSE Dynamic À partir de DH/mois 310 000 DH 04/2018 200 000 km Automatique Diesel
2297,https://www.autocash.ma/fr/achat/voiture/2297,autocash,2026-09-24,2026-09-24 21:31:02,Land Rover Range Rover,Land Rover,Range,Rover,2023.0,54000.0,Hybride,Automatique,,Dédouanée,Occasion,,,Professionnel,,,Casablanca,Casablanca-Settat,850000.0,1.0,Voir plus Previous slide Next slide Vendu EXPERTISÉE COMPARER Land rover Range Rover Sport PHEV 3.0 I6 PHEV 440 4WD Dynamic SE À partir de DH/mois 850 000 DH 08/2023 54 000 km Automatique Hybride
2277,https://www.autocash.ma/fr/achat/voiture/2277,autocash,2026-09-24,2026-09-24 21:31:02,Porsche Cayenne S,Porsche,Cayenne S,,2022.0,94156.0,Hybride,Automatique,,Dédouanée,Occasion,,,Professionnel,,,Casablanca,Casablanca-Settat,885000.0,1.0,Voir plus Previous slide Next slide EXPERTISÉE COMPARER Porsche Cayenne S E-Hybrid À partir de DH/mois 885 000 DH 02/2022 94 156 km Automatique Hybride
2283,https://www.autocash.ma/fr/achat/voiture/2283,autocash,2026-09-24,2026-09-24 21:31:02,Mercedes Classe E,Mercedes-Benz,Classe E,,2019.0,57426.0,Diesel,Automatique,,Dédouanée,Occasion,,,Professionnel,,,Casablanca,Casablanca-Settat,337000.0,1.0,Voir plus Previous slide Next slide EXPERTISÉE COMPARER Mercedes Classe E Coupé 220 d DCT Avantgarde À partir de DH/mois 337 000 DH 03/2019 57 426 km Automatique Diesel
2286,https://www.autocash.ma/fr/achat/voiture/2286,autocash,2026-09-24,2026-09-24 21:31:02,DS DS7 Crossback,DS,DS7 Crossback,,2022.0,90656.0,Diesel,Automatique,,Dédouanée,Occasion,,,Professionnel,,,Casablanca,Casablanca-Settat,247000.0,1.0,Voir plus Previous slide Next slide EXPERTISÉE COMPARER Ds DS7 Crossback 2.0 BlueHDi 180 EAT8 Opera À partir de DH/mois 247 000 DH 04/2022 90 656 km Automatique Diesel
2266,https://www.autocash.ma/fr/achat/voiture/2266,autocash,2026-09-24,2026-09-24 21:31:02,Dacia Sandero essencial,Dacia,Sandero essencial,,2026.0,4068.0,Essence,Manuelle,,Dédouanée,Occasion,,,Professionnel,,,Casablanca,Casablanca-Settat,132000.0,1.0,Voir plus Previous slide Next slide EXPERTISÉE COMPARER Dacia Sandero essencial TCE À partir de DH/mois 132 000 DH 01/2026 4 068 km Manuelle Essence
