listing_id,url,source,date_posted,date_scraped,title_raw,brand,model,trim,year,mileage_km,fuel_type,transmission,fiscal_power_cv,customs_status,condition,owners_count,doors_count,seller_type,seller_phone,seller_phone_hash,city,region,price_mad,photos_count,description_raw
7337,https://occasion.kifal.ma/annonce/AUDI_Q7_2023_Diesel_Automatique_CASABLANCA_7337_VEH00011V6.htm,kifal,2026-09-24,2026-09-24 21:30:37,AUDI Q7,Audi,Q7,AUDI Q7 D 2023 CASABLANCA Q7 II - Ph1 - 3.0 V6 TDI Exclusive Quattro Tiptronic 7 pl BVA 249ch 566 000 Dh A partir de 6 994 dh / mois * Diesel Automatique 54 776 km,2023.0,54776.0,Diesel,Automatique,,WW au Maroc,Inspecté / Certifié,,,Professionnel,,,Casablanca,Casablanca-Settat,566000.0,1.0,AUDI Q7 D 2023 CASABLANCA Q7 II - Ph1 - 3.0 V6 TDI Exclusive Quattro Tiptronic 7 pl BVA 249ch 566 000 Dh A partir de 6 994 dh / mois * Diesel Automatique 54 776 km
7807,https://occasion.kifal.ma/annonce/MERCEDES-BENZ_Classe%20E%20Coup%C3%A9_2020_Diesel_Automatique_CASABLANCA_7807_VEH00013UC.htm,kifal,2026-09-24,2026-09-24 21:30:37,MERCEDES BENZ Classe E Coupé,MERCEDES BENZ,Classe E Coupé,MERCEDES-BENZ Classe E Coupé B 2020 CASABLANCA Classe E Coupé III - Ph1 - 220 d AMG Line Plus 9G-Tronic BVA 194ch 420 000 Dh A partir de 5 190 dh / mois * Diesel Automatique 65 953 km,2020.0,65953.0,Diesel,Automatique,,WW au Maroc,Inspecté / Certifié,,,Professionnel,,,Casablanca,Casablanca-Settat,420000.0,1.0,MERCEDES-BENZ Classe E Coupé B 2020 CASABLANCA Classe E Coupé III - Ph1 - 220 d AMG Line Plus 9G-Tronic BVA 194ch 420 000 Dh A partir de 5 190 dh / mois * Diesel Automatique 65 953 km
7806,https://occasion.kifal.ma/annonce/BMW_X6_2025_Diesel_Automatique_CASABLANCA_7806_VEH00013SW.htm,kifal,2026-09-24,2026-09-24 21:30:37,BMW X6,BMW,X6,BMW X6 E 2025 CASABLANCA X6 III - Ph2 - Xdrive 30d PACK M BVA 298ch 885 000 Dh A partir de 10 936 dh / mois * Diesel Automatique 11 367 km,2025.0,11367.0,Diesel,Automatique,,WW au Maroc,Inspecté / Certifié,,,Professionnel,,,Casablanca,Casablanca-Settat,885000.0,1.0,BMW X6 E 2025 CASABLANCA X6 III - Ph2 - Xdrive 30d PACK M BVA 298ch 885 000 Dh A partir de 10 936 dh / mois * Diesel Automatique 11 367 km
7527,https://occasion.kifal.ma/annonce/GWM_POER%20DC_2025_Diesel_Manuelle_CASABLANCA_7527_VEH00012QZ.htm,kifal,2026-09-24,2026-09-24 21:30:37,GWM POER DC,GWM,POER DC,,2025.0,24328.0,Diesel,Manuelle,,WW au Maroc,Inspecté / Certifié,,,Professionnel,,,Casablanca,Casablanca-Settat,235000.0,1.0,GWM POER DC 2025 CASABLANCA POER DC I - Ph1 - 2.0 D 150 Double Cabine BVM 150ch 235 000 Dh A partir de 2 904 dh / mois * Diesel Manuelle 24 328 km
7805,https://occasion.kifal.ma/annonce/VOLKSWAGEN_Tiguan_2018_Diesel_Automatique_FES_7805_VEH00013T7.htm,kifal,2026-09-24,2026-09-24 21:30:37,VOLKSWAGEN Tiguan,Volkswagen,Tiguan,VOLKSWAGEN Tiguan C 2018 FES Tiguan II - Ph1 - 2.0 TDI Carat 4Motion BVA 150ch 215 000 Dh A partir de 2 657 dh / mois * Diesel Automatique 126 525 km,2018.0,126525.0,Diesel,Automatique,,WW au Maroc,Inspecté / Certifié,,,Professionnel,,,Fes,Fès-Meknès,215000.0,1.0,VOLKSWAGEN Tiguan C 2018 FES Tiguan II - Ph1 - 2.0 TDI Carat 4Motion BVA 150ch 215 000 Dh A partir de 2 657 dh / mois * Diesel Automatique 126 525 km
7600,https://occasion.kifal.ma/annonce/MERCEDES-BENZ_Classe%20E_2017_Diesel_Automatique_CASABLANCA_7600_VEH000127V.htm,kifal,2026-09-24,2026-09-24 21:30:37,MERCEDES BENZ Classe E,MERCEDES BENZ,Classe E,MERCEDES-BENZ Classe E B 2017 CASABLANCA Classe E V - Ph1 - 220 d Avantgarde BVA 194ch 270 000 Dh A partir de 3 336 dh / mois * Diesel Automatique 165 146 km,2017.0,165146.0,Diesel,Automatique,,WW au Maroc,Inspecté / Certifié,,,Professionnel,,,Casablanca,Casablanca-Settat,270000.0,1.0,MERCEDES-BENZ Classe E B 2017 CASABLANCA Classe E V - Ph1 - 220 d Avantgarde BVA 194ch 270 000 Dh A partir de 3 336 dh / mois * Diesel Automatique 165 146 km
7804,https://occasion.kifal.ma/annonce/AUDI_Q8%20SPORTBACK%20E-TRON_2023_Electrique_Automatique_CASABLANCA_7804_VEH00013T2.htm,kifal,2026-09-24,2026-09-24 21:30:37,AUDI Q8 SPORTBACK E-TRON,Audi,Q8 SPORTBACK E-TRON,AUDI Q8 SPORTBACK E-TRON A 2023 CASABLANCA Q8 SPORTBACK E-TRON I - Ph1 - 55 Exclusive BVA 410ch 575 000 Dh A partir de 7 105 dh / mois * Electrique Automatique 25 949 km,2023.0,25949.0,Electrique,Automatique,,WW au Maroc,Inspecté / Certifié,,,Professionnel,,,Casablanca,Casablanca-Settat,575000.0,1.0,AUDI Q8 SPORTBACK E-TRON A 2023 CASABLANCA Q8 SPORTBACK E-TRON I - Ph1 - 55 Exclusive BVA 410ch 575 000 Dh A partir de 7 105 dh / mois * Electrique Automatique 25 949 km
7802,https://occasion.kifal.ma/annonce/PORSCHE_Macan_2025_Essence_Automatique_CASABLANCA_7802_VEH00013RP.htm,kifal,2026-09-24,2026-09-24 21:30:37,PORSCHE Macan,Porsche,Macan,,2025.0,4047.0,Essence,Automatique,,WW au Maroc,Inspecté / Certifié,,,Professionnel,,,Casablanca,Casablanca-Settat,669000.0,1.0,PORSCHE Macan E 2025 CASABLANCA Macan I - Ph1 - 2.0 PDK BVR 265ch 669 000 Dh A partir de 8 267 dh / mois * Essence Automatique 4 047 km
7801,https://occasion.kifal.ma/annonce/OPEL_Mokka_2023_Essence_Automatique_CASABLANCA_7801_VEH00013QU.htm,kifal,2026-09-24,2026-09-24 21:30:37,OPEL Mokka,Opel,Mokka,OPEL Mokka B 2023 CASABLANCA Mokka II - Ph1 - 1.2 L GS LINE + BVA 130ch 202 000 Dh A partir de 2 496 dh / mois * Essence Automatique 29 848 km,2023.0,29848.0,Essence,Automatique,,WW au Maroc,Inspecté / Certifié,,,Professionnel,,,Casablanca,Casablanca-Settat,202000.0,1.0,OPEL Mokka B 2023 CASABLANCA Mokka II - Ph1 - 1.2 L GS LINE + BVA 130ch 202 000 Dh A partir de 2 496 dh / mois * Essence Automatique 29 848 km
7717,https://occasion.kifal.ma/annonce/AUDI_Q7_2022_Diesel_Automatique_CASABLANCA_7717_VEH00013LF.htm,kifal,2026-09-24,2026-09-24 21:30:37,AUDI Q7,Audi,Q7,AUDI Q7 D 2022 CASABLANCA Q7 II - Ph1 - 3.0 V6 TDI Prestige Quattro Tiptronic 7 pl BVA 249ch 365 000 Dh A partir de 4 510 dh / mois * Diesel Automatique 106 269 km,2022.0,106269.0,Diesel,Automatique,,WW au Maroc,Inspecté / Certifié,,,Professionnel,,,Casablanca,Casablanca-Settat,365000.0,1.0,AUDI Q7 D 2022 CASABLANCA Q7 II - Ph1 - 3.0 V6 TDI Prestige Quattro Tiptronic 7 pl BVA 249ch 365 000 Dh A partir de 4 510 dh / mois * Diesel Automatique 106 269 km
